,Date,Stock1,Stock2,Stock3,Stock4,Stock5
0,2024-01-01,-0.2,0.2,0.4,0.4,0.2
1,2024-01-02,-3.4385764819272815,3.039819038552371,8.222963756958535,-3.7539037498081385,-3.070302563775487
2,2024-01-03,-0.054030455552900654,0.7244057669071804,-0.5739304205325804,0.6261656703871283,0.27738943879117234
3,2024-01-04,0.4244743294485281,0.5055396789810359,0.2161503867136638,-0.5447811294821855,0.3986167343389578
4,2024-01-05,0.22331753988982084,0.2857493496789642,0.18051567765210005,0.019848855572307603,0.2905685772068073
5,2024-01-08,0.6170184270686129,-0.07621034928298977,0.42146017117627543,-0.15244525738296455,0.190177008421066
6,2024-01-09,0.7458100833458732,-0.6010494060599777,0.822594005024626,-1.110765488223585,1.1434108059130634
7,2024-01-10,2.2658828231107626,-1.9082581743780471,1.0310097951287776,-1.6262829801868282,1.237648536325335
8,2024-01-11,-0.053112174554187576,0.22816711826807196,-0.002649729663151663,0.3884580711966839,0.43913671475258337
9,2024-01-12,-0.12650371207773825,0.2693055052074461,0.19269373607738915,-0.004124548361335645,0.6686290191542387
10,2024-01-15,0.72206632551021,-0.5749914309487364,-0.307954728683842,0.8534835206107767,0.30739631351159163
11,2024-01-16,-0.3663809663885403,0.4439652628372381,0.26146284489526783,0.20880864134651334,0.45214421730952103
12,2024-01-17,0.45733474348696806,-7.126867541477892,3.5983389439494684,-2.849059952588679,6.920253806630135
13,2024-01-18,0.8147039930044592,0.7258476536791644,-0.35194894712025054,-1.4179431282843449,1.2293404287209717
14,2024-01-19,0.5615823383296075,0.10520698380593893,0.48371121780053944,0.31283778233462656,-0.4633383222707123
15,2024-01-22,-0.3767562828998679,-0.49445373535936604,0.709511470120625,0.6435690615391162,0.5181294865994928
16,2024-01-23,0.540888740916014,0.7901191808725219,-0.004576379055683034,0.045156524215112064,-0.371588066947965
17,2024-01-24,2.682055139867308,-2.2685888621653834,1.8588926799808674,-2.7881905033166072,1.5158315456338152
18,2024-01-25,1.162097611440526,1.1161183574957834,-1.221190932900331,-0.04243928069181186,-0.014585755344166512
19,2024-01-26,1.2995567334736617,-0.6536029380202711,-1.815150521135239,0.2692148677649986,1.8999818579168497
