Date,Stock1,Stock2,Stock3,Stock4,Stock5
2024-01-01,100,100,100,100,100
2024-01-02,95.09810161346131,129.46933759800635,86.57433079293949,102.04660420086188,86.72275855043031
2024-01-03,101.66034540632702,84.82198597775322,100.57314332947986,110.83130303840888,89.81358717204981
2024-01-04,84.81871668665954,102.54822778345378,93.15152980337184,89.97078577794946,92.28469602012876
2024-01-05,88.75867361422534,96.01842180123705,91.5929413502711,85.66133302293667,116.13075445329133
2024-01-08,106.16418683795588,115.52603313159423,86.693476595555,101.55456962346031,92.34430182811704
2024-01-09,95.7499702730936,114.57322018569323,102.36768307288722,116.44935622867625,83.4761892370113
2024-01-10,90.38792619510303,108.79783622629674,108.36860523073969,106.88189266564083,89.68950890451575
2024-01-11,85.09133937257529,101.77481619208594,108.74887641464258,98.72377597062973,97.24078886273938
2024-01-12,103.37922208672366,86.93959890032859,94.79198614538791,96.72791323997777,109.1464576935676
2024-01-15,108.82802464984975,96.27190001926589,89.87005773025066,101.22622255045663,82.43474462322754
2024-01-16,118.9776528725845,87.63893170599025,86.43257202331107,100.1374286738283,112.88652675325379
2024-01-17,95.29890662001779,115.79583026825715,88.21349254784988,84.31764993705862,109.38448180928374
2024-01-18,100.42871247796974,116.49535827857441,87.48271053942614,104.65654646463048,94.43766391519502
2024-01-19,108.10649099167972,95.81705393359695,117.15407880861494,87.4605132710605,108.46946792411175
2024-01-22,84.1659460783701,110.54850710081215,91.76079538877856,88.18460344275721,88.90611412147749
2024-01-23,90.5278656812069,94.52960231535712,103.13477773432467,110.72127065435762,90.10695959527578
2024-01-24,92.54758116709554,100.16613031562544,98.55590892816147,94.18838130714613,87.99130572947496
2024-01-25,119.69068465791192,91.01667868200786,108.51541850382065,113.78683283588441,97.69756307783864
2024-01-26,119.80096994744952,106.40291699795456,100.94168132619502,105.76901462171188,114.66502513087147
2024-01-29,90.28362144551213,108.86214304049463,98.92276505736078,78.43454244152448,97.5670814955166
2024-01-30,96.80681462093207,93.51655385058258,94.89026982400858,116.1411435881671,92.17266231004444
2024-01-31,118.130279762756,107.23970939308919,97.90657709883503,101.15009289090216,91.82136209656304
2024-02-01,81.94624640942997,95.80081670971394,108.38544842760979,99.51468588995368,92.57376212116145
2024-02-02,112.2023336647971,100.03359363581639,86.76502590488181,101.43499386343055,108.7074899425175
2024-02-05,108.67701382468157,106.32136832581364,117.64807581058274,84.27702957792862,97.0988326883842
2024-02-06,101.17553700629063,99.02380854718496,95.46839472233839,99.83949993653842,90.91834695711654
2024-02-07,98.12207851706015,106.06543963090678,107.84373847389736,94.77915387124118,96.12028309880273
2024-02-08,78.21938422131822,90.01381507463279,102.73912509826016,97.71028516253794,106.55728314343379
2024-02-09,104.78078649532249,82.50428934303918,99.53821042174727,101.57816457785287,93.43086386308316
2024-02-12,89.14042693001365,91.76059440755311,116.22546250266046,106.33767000312534,96.2149245229339
2024-02-13,80.95254946233905,124.42133482471526,104.33108904441025,97.75998514274134,96.88292989536404
2024-02-14,73.60954106308068,99.73736541775065,100.54781321194284,107.38858819485026,114.90334643043572
2024-02-15,104.09847549482181,96.51537927562089,100.52563386266318,93.04494911903186,88.52621350775246
2024-02-16,105.40921057083516,113.72573933788416,101.64108978868437,102.47098708017197,99.72695395930451
2024-02-19,120.07890132841607,94.10509974665462,97.97368751091122,112.74089656513448,92.39107084305704
2024-02-20,101.91882753546827,93.29784552518129,82.09600567074558,89.21871974796954,114.16082268832824
2024-02-21,92.76458365315031,82.40682070791422,85.83701716169452,103.6968598511939,107.72797189664529
2024-02-22,108.95816175498076,113.87956629969169,91.53628205310156,85.66357193350892,91.04012182020415
2024-02-23,88.34659321509524,115.48854083073377,94.65374604630779,107.83584354992215,102.33680118360334
2024-02-26,109.04318289856408,112.8127401445963,116.42930561743272,98.96311539099761,116.1359306804225
2024-02-27,99.54355275226399,96.28514586882935,98.78750999915206,107.91647550520102,109.37276625292156
2024-02-28,116.3811329903316,99.603430207967,123.2659668075787,100.86365981312295,87.31139708128045
2024-02-29,87.89256535204156,101.2728247635285,101.00908821173346,99.93104002193279,112.62166634526605
2024-03-01,99.18636538671443,100.642366223623,96.04325204226787,104.06501114619599,103.52747166490926
2024-03-04,105.30119671061358,105.09268924874607,87.21534020347637,79.6754473522663,102.30116257836272
2024-03-05,111.28618960696653,80.5395744222703,102.34026482710316,94.70748656081085,98.44035639395442
2024-03-06,103.5628009379084,85.39566605740302,102.61266419308103,108.24472971700504,99.04241565609766
2024-03-07,109.49127376064074,97.01344296076236,100.52998842761687,99.42738518795177,106.1170442953633
2024-03-08,109.85598156018723,106.87352641182464,101.17132448469859,101.12107670186012,122.72197040351978
2024-03-11,94.00550082931487,106.11834594166781,126.0009244735757,117.55504861700365,86.56245140035499
